,Aguascalientes,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,Nuevo Leon,Baja California,Oaxaca,Puebla,Queretaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Baja California Sur,Veracruz,Yucatan,Zacatecas,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Ciudad de Mexico
0,-23.0,-98.0,19.0,52.0,83.0,-71.0,78.0,-7.0,80.0,-102.0,51.0,-396.0,159.0,117.0,55.0,419.0,35.0,-202.0,-279.0,275.0,94.0,108.0,-306.0,186.0,390.0,-41.0,338.0,-19.0,-99.0,295.0,-142.0,-476.0
1,-76.0,18.0,-114.0,-224.0,-128.0,-132.0,-168.0,-170.0,-185.0,-82.0,42.0,222.0,-243.0,-182.0,-115.0,-142.0,-62.0,51.0,203.0,-196.0,-8.0,-161.0,31.0,-161.0,-100.0,-22.0,-161.0,104.0,-176.0,-248.0,157.0,403.0
